,Release Date,Title,Genre,Runtime,Budget,Revenue
362,2019-07-12,The Lion King,Adventure,118.0,260000000.0,1656943394.0
363,2016-11-18,Manchester by the Sea,Drama,138.0,9000000.0,78988148.0
364,2016-10-21,Moonlight,Drama,111.0,4000000.0,65046687.0
365,2017-09-01,Call Me by Your Name,Romance,132.0,4000000.0,41063475.0
366,2017-11-22,Darkest Hour,Drama,125.0,30000000.0,150847207.0
367,2017-07-19,Dunkirk,War,107.0,100000000.0,525573161.0
368,2020-07-07,Tribal: Get Out Alive,Action,86.0,0.0,0.0
369,2017-09-08,Lady Bird,Drama,94.0,10000000.0,76858273.0
370,2017-12-25,Phantom Thread,Drama,130.0,35000000.0,47756590.0
371,2017-01-19,The Post,Drama,116.0,50000000.0,174503458.0
372,2017-12-01,The Shape of Water,Drama,123.0,19500000.0,194989655.0
373,2017-11-10,"Three Billboards Outside Ebbing, Missouri",Crime,115.0,15000000.0,160192031.0
374,2018-11-16,Green Book,Drama,130.0,23000000.0,319700000.0
375,2018-02-13,Black Panther,Action,134.0,200000000.0,1346739107.0
376,2018-07-30,BlacKkKlansman,Crime,135.0,15000000.0,48686605.0
377,2018-10-24,Bohemian Rhapsody,Drama,135.0,52000000.0,894027543.0
378,2018-11-23,The Favourite,Drama,120.0,15000000.0,82124805.0
379,2018-08-25,Roma,Drama,135.0,15000000.0,0.0
380,2018-10-03,A Star Is Born,Drama,136.0,36000000.0,433888866.0
381,2018-12-25,Vice,Drama,132.0,60000000.0,76073488.0
382,2004-01-01,Parasite,Horror,93.0,0.0,0.0
383,2019-11-13,Ford v Ferrari,Drama,152.0,97600000.0,225508210.0
384,2019-11-01,The Irishman,Crime,209.0,159000000.0,8000000.0
385,2019-10-18,Jojo Rabbit,Comedy,108.0,14000000.0,82468705.0
386,2019-10-02,Joker,Crime,122.0,55000000.0,1074251311.0
388,2019-11-06,Marriage Story,Drama,137.0,19000000.0,2300000.0
389,2019-12-25,1917,War,119.0,100000000.0,374733942.0
390,2019-07-24,Once Upon a Time… in Hollywood,Comedy,162.0,95000000.0,374251247.0
